================================================================================
  kr1688.com 宠物用品跨境代采产品数据清单
  数据来源: 1688.com 搜索"宠物用品 跨境 一件代发"
  采集日期: 2026-07-01
  说明: 以下数据从1688搜索结果页及部分产品详情页采集
================================================================================

编号 | 产品中文名称 | 英文名称 | 1688价格(¥) | 产品链接 | 最小起订量 | 一件代发
-----|------------|---------|------------|---------|-----------|--------

--- 子品类: 宠物玩具 (Pet Toys) ---

1 | 猫玩具磨牙棒木天蓼薄荷球解闷猫咪自嗨玩具耐磨耐咬猫用品逗猫棒
19 | 跨境不锈钢猫砂盆防溅易清洗加宽加厚加高ABS围栏猫厕所宠物用品
    | Cross-border Stainless Steel Litter Box - Splash-proof High-sided Cat Toilet
    | ¥64.80
    | https://detail.1688.com/offer/跨境不锈钢猫砂盆.html
    | 2件起
    | 否

20 | 狗狗纸尿裤宠物尿不湿吸水宠物月经裤透气一次性狗生理裤专用尿垫
    | Absorbent Disposable Dog Diapers - Breathable Pet Sanitary Pants
    | ¥6.20
    | https://detail.1688.com/offer/狗狗纸尿裤.html
    | 2件起
    | 是

================================================================================
  汇总统计:
  - 总计产品数: 20
  - 支持一件代发: 19/20 (95%)
  - 价格区间: ¥0.90 ~ ¥64.80
  - 最低起订量: 多为2件起，B2B定制类500袋起
  - 数据来源: 1688搜索结果页文本 + 部分产品详情页验证
  
  子品类覆盖:
  - 宠物玩具: 3个 (磨牙棒、硅胶玩具、猫抓板)
  - 智能喂食器/饮水机: 3个 (饮水器、双碗、随行水杯)
  - 航空箱/外出包: 3个 (手推车、睡垫、凉席狗窝)
  - 定制项圈牵引绳: 3个 (胸背带、铁链、P绳)
  - 清洁美容/其他: 8个 (免洗手套、梳子、剪刀、尿不湿、猫砂盆等)

  注意: 
  - 部分产品链接为推断URL，需在1688搜索对应产品名称获取准确链接
  - 标记"已验证"的为通过详情页确认的数据
  - 主图URL因1688反爬机制未能批量提取，建议在产品详情页获取
  - 价格为首个SKU价格，实际价格以1688页面为准
================================================================================
